Title	Description	Category	ID	Item ID	Condition	Price	Model	Storage	Image 1	Image 2	Image 3
Apple iPhone 5s 16GB - Gold Sprint *(iCloud Lock)*	Selling a IPhone 5s Gold 16gb for sprint. Brand new condition no scratches or dents and still has the elastic cover on the back of the phone. It has a iCLOUD ACTIVATION LOCK on it so if you know anyone who can bypass this , then it is a beautiful phone for you. Highest bidder takes it free shipping :-) Posted with eBay Mobile	Cell Phones & Accessories:Cell Phones & Smartphones	1	251494026626	6	385.0	7	2	http://i.ebayimg.com/00/s/MTEzNlg2NDA=/z/Mt8AAOxyyq5TO774/$_12.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/RZkAAOxy0zhTO77z/$_12.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/MskAAOxyyq5TO772/$_12.JPG?set_id=880000500F
Apple iPhone 5 - 16GB - Black and Slate (AT&T) Smartphone (MD634LL/A)	This is a brand new iPhone 5 it has all accessories non touched sealed and the phone itself has still the plastic cover from the manufacture Posted with eBay Mobile	Cell Phones & Accessories:Cell Phones & Smartphones	2	131153311798	6	405.0	5	2	http://i.ebayimg.com/00/s/MTAwMFg3NDY=/z/AA4AAOxyhXRTNnTv/$_12.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/MTAwMFg3NDY=/z/MgYAAOxykmZTNnTw/$_12.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/NzQ2WDEwMDA=/z/tOsAAOxydUJTNnTy/$_12.JPG?set_id=880000500F
iphone 4 8gb verizon	I am selling my iPhone 4 8gb Verizon clean ESN and works perfectly fine..always used with front and back screen protector.. comes with: 1) screen protector(1) 2) charger (1) 3) case (1) bid with confidence..	Cell Phones & Accessories:Cell Phones & Smartphones	3	261443349070	2	90.99	3	1	http://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/RScAAOxykmZTPlso/$_12.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/MTQ2OFg4MjY=/z/CcIAAOxycD9TPltE/$_12.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/ODI2WDE0Njg=/z/CrAAAOxycD9TPltS/$_12.JPG?set_id=880000500F
Apple iphone (5) 16gb White (Verizon) Locked.	Phone is in excellent condition, no cracks, dents or scratches anywhere. In working condition. Posted with eBay MobileOn Mar-26-14 at 12:28:26 PDT, seller added the following information: ***Bad ESN***	Cell Phones & Accessories:Cell Phones & Smartphones	4	181364408555	2	232.5	5	2	http://i.ebayimg.com/00/s/NTAwWDM3NQ==/z/i2kAAOxy039TNnRg/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/NTAwWDM3NQ==/z/i40AAOxy039TNnRj/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/NTAwWDM3NQ==/z/i6EAAOxy039TNnRl/$_1.JPG?set_id=8800005007
Apple iPhone 5 - 16GB - Black & Slate (Verizon) CLEAN ESN + Accessories	Black, like-new iPhone 5 with clean ESN (Verizon). There is a tiny chip in the upper left hand corner of the phone - you might be able to see it in the close-up picture. It is very small and it is the only part of this phone that may distinguish it from a new one right out of the box. This phone is in very good condition and comes with the accessories shown: a Verizon shell/holster combo with kickstand (shown in pictures on the phone) and a Verizon Lightning car charger. Thanks for checking out the auction. Happy bidding!	Cell Phones & Accessories:Cell Phones & Smartphones	5	191118327923	2	365.0	5	2	http://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/NI4AAOxyCGNTNnIz/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/NXAAAOxyCGNTNnJG/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/YhcAAOxyyq5TNnJB/$_1.JPG?set_id=8800005007
Apple iPhone 4 - 8GB - White (Sprint) Smartphone	This is a brand new phone, never activated. It still has original packaging and parts.	Cell Phones & Accessories:Cell Phones & Smartphones	6	231191875608	6	105.0	3	1	http://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/msUAAOxyTMdTNnBI/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/MTYwMFgxMDM5/z/fYsAAOxydUJTNnBh/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/Nzk2WDE2MDA=/z/zm0AAOxyhXRTNnBr/$_1.JPG?set_id=8800005007
Apple iPhone 4 16GB - AT&T - Black Smartphone - Excellent Condition	This phone had FLAWLESS glass on both sides and the metal is perfect except for a slight shiny spot at top where the case went. All functions on the Internet phone work and therr are no issues whatsoever. I just got a Note 2 which is the only reason im selling this phone. I have been using an AT&T 50 dollar prepay H2O card for the last six months. AT&T will unlock it for free as the contract was forfilled. Only the phone, charger and cable are supplied.	Cell Phones & Accessories:Cell Phones & Smartphones	7	221404264419	2	140.0	3	2	http://i.ebayimg.com/00/s/MTIzM1g4OTA=/z/IGwAAOxyyq5TNmvb/$_12.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/MTQ2OFgxMTAx/z/vOQAAOxy4eJTNmuu/$_12.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/MTQ2OFg5MzI=/z/3rUAAMXQydtTNmv1/$_12.JPG?set_id=880000500F
Apple iPhone 4s - 16GB - White (AT&T) Smartphone	You are bidding on a seller refurbished white AT&T iPhone 4s with new screen and back. IMEI is clean and phone is not blacklisted or ICloud locked. Phone has been tested on AT&T netwok and works perfectly. Both cameras are functional and take clean clear pix. WiFI and bluetooth both funtion as well as all buttons, speaker and headphone jack. Phone has a 14 day money refund if you find anything wrong. Will include wall charger and cable.	Cell Phones & Accessories:Cell Phones & Smartphones	8	291114610378	3	214.5	4	2	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/mgcAAMXQuTNTOPUY/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/SlQAAOxy039TOPSE/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/z0wAAOxydUJTOPRJ/$_1.JPG?set_id=8800005007
Apple iPhone 4s - 16GB - White (AT&T) Smartphone	Like NEW iPhone 4s 16GB in MINT condition. Flawless on all sides. Works seamlessly. Includes box and charger.	Cell Phones & Accessories:Cell Phones & Smartphones	9	171290228660	2	212.5	4	2	http://i.ebayimg.com/00/s/MTYwMFgxMTk5/z/4aoAAOxyk7pTPio-/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/lG8AAOxycD9TPipJ/$_1.JPG?set_id=8800005007	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4rYAAOxyk7pTPipS/$_1.JPG?set_id=8800005007
Apple iPhone 4 - 8GB - Black (AT&T) No Cell or WIFI reception	This is an Iphone 4 in great cosmetic shape! I replaced the screen and in the process, the WIFI/Cell antenna wire broke. This is a cheap part to replace. My loss is your gain. Comes with box No returns or refunds AS-IS! NO INTERNATIONAL SHIPPING! INTERNATIONAL BIDS WILL BE DELETED!	Cell Phones & Accessories:Cell Phones & Smartphones	10	121307212001	1	66.0	3	1	http://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/W5gAAMXQeKNTNmtt/$_1.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/aoMAAOxyTMdTNmtw/$_1.JPG?set_id=880000500F	http://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/zmQAAOxykmZTNmtv/$_1.JPG?set_id=880000500F
