Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
1.0	5.0	2.0	100.0	5.0	3.0	5.0	679.0	5.0	2.0	18.0	1.0	0.0	1.0	3.0	0.0	9
2.0	3.0	1.0	96.6	1.0	3.0	9.0	936.0	5.0	2.0	22.0	2.0	1.0	249.0	7.0	0.0	8
1.0	4.0	2.0	100.0	2.0	7.0	8.0	257.0	5.0	5.0	20.0	2.0	0.0	1.0	7.0	0.0	5
2.0	5.0	2.0	100.0	2.0	7.0	4.0	378.0	4.0	4.0	20.0	3.0	0.0	1.0	7.0	0.0	11
2.0	4.0	2.0	98.8	4.0	1.0	3.0	5342.0	4.0	3.0	5.0	1.0	0.0	1.0	3.0	1.0	6
2.0	5.0	2.0	100.0	4.0	3.0	6.0	758.0	4.0	1.0	17.0	2.0	0.0	1.0	7.0	0.0	15
2.0	4.0	2.0	0.0	0.0	5.0	5.0	339.0	4.0	6.0	23.0	2.0	0.0	1.0	3.0	1.0	7
2.0	5.0	2.0	100.0	3.0	3.0	10.0	895.0	6.0	3.0	1.0	3.0	0.0	1.0	3.0	0.0	12
2.0	3.0	2.0	100.0	0.0	7.0	5.0	457.0	6.0	6.0	7.0	1.0	0.0	1.0	7.0	1.0	6
6.0	7.0	3.0	89.1	1.0	10.0	10.0	307.0	4.0	1.0	19.0	2.0	0.0	1.0	7.0	0.0	22
2.0	5.0	2.0	99.5	4.0	3.0	5.0	251.0	4.0	1.0	22.0	1.0	0.0	1.0	3.0	1.0	12
1.0	2.0	1.0	98.8	3.0	7.0	3.0	39.0	5.0	5.0	2.0	2.0	1.0	39.0	7.0	0.0	2
1.0	3.0	1.0	98.7	4.0	7.0	4.0	137.0	5.0	5.0	14.0	2.0	0.0	1.0	5.0	0.0	4
2.0	3.0	1.0	100.0	1.0	10.0	9.0	573.0	4.0	1.0	16.0	3.0	1.0	39.0	7.0	0.0	4
1.0	5.0	4.0	100.0	3.0	7.0	10.0	859.0	4.0	4.0	20.0	1.0	1.0	39.0	3.0	0.0	9
2.0	7.0	3.0	100.0	3.0	7.0	3.0	729.0	5.0	5.0	18.0	3.0	0.0	1.0	3.0	0.0	25
2.0	7.0	4.0	100.0	1.0	3.0	6.0	510.0	5.0	2.0	0.0	1.0	0.0	1.0	3.0	0.0	23
2.0	4.0	2.0	0.0	0.0	7.0	4.0	407.0	4.0	4.0	5.0	2.0	1.0	39.0	7.0	0.0	8
